ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed,FullAddress,geometry,ClosestTrainStation,ClosestBusStation,DistanceToTrainStation_km,DistanceToBusStation_km
SE-00005855,PR-00001946,Kororoit Creek YMCA Early Learning Centre,Victorian YMCA Community Programming Pty Ltd,Centre-Based Care,130 Tenterfield Drive,BURNSIDE HEIGHTS,VIC,3023,0383580700,0394035100,"The approved provider must review the services staffing policy and procedures to include procedures for the induction of educators, co-ordinators and staff members with specific reference to excursions. The policy must be submitted to the Department by 30 April 2016 for approval. The approved provider must provide professional development to all educators to ensure that they gain knowledge to build their
     skills in developing effective programs that meet the needs of all children and their responsibilities in
     relation to adequate supervision and taking precautions to protect children from harm and hazards

o	The professional development must be delivered by a recognised early childhood organisation or expert, approved in writing by the Department, prior to their engagement
o	The professional development must be delivered by 30 April 2016.
o	The Department must be provided with proof of the completion of the professional development within 7 days of completion. Risk assessments for any excursions conducted by the service from 30 November 2015 to 28 February 2016 must submitted to the Department at least 15 working days prior to the excursion being undertaken.",84,01/01/2012,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Dec 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2021,NA,Yes,No,No,Yes,Yes,Yes,No,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,NA,NA,NA,NA,06:30:00,09:00:00,06:30:00,09:00:00,06:30:00,09:00:00,06:30:00,09:00:00,06:30:00,09:00:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"130 Tenterfield Drive, BURNSIDE HEIGHTS, VIC, 3023","c(144.754306024292, -37.735155260998)",Keilor Plains,Caroline Springs Station/Christies Rd,3.5334980699567433,3.7679271691949863
SE-00005856,PR-00001900,Warrnambool City Council OSHC Service - Vacation Care,Warrnambool City Council,Centre-Based Care,Caramut Road,WARRNAMBOOL,VIC,3280,03 5559 4555,03 5562 5311,NA,105,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2017,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Mar 2013,NA,No,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,NA,NA,NA,NA,No,"Caramut Road, WARRNAMBOOL, VIC, 3280","c(142.462398283996, -38.347320392681)",Warrnambool Railway Station,Ballarat City,4.35161140937943,150.70537169834927
SE-00005859,PR-40008133,Our Kids,MYK PTY LTD ATF The MYK Family Trust,Centre-Based Care,203 Springvale Road,NUNAWADING,VIC,3131,03 9894 4123,03 9894 4123,NA,45,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2017,12/12/2016,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"203 Springvale Road, NUNAWADING, VIC, 3131","c(145.17556396554, -37.8223229888)",Mitcham,Ringwood Station,1.5871503231281425,4.817848848210973
SE-00005860,PR-40034849,Doncaster Gardens Preschool,EV INC,Centre-Based Care,53 Victoria Street,DONCASTER EAST,VIC,3109,0398487737,NA,NA,26,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun 2018,29/01/2024,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"53 Victoria Street, DONCASTER EAST, VIC, 3109","c(145.144346992087, -37.781854992631)",Laburnum,Ringwood Station,4.3321219453638085,8.372677330520975
SE-00005861,PR-40019053,CRESCENT EARLY LEARNING CENTRE,BRILLIANT FAMILY DAY CARE PTY LTD,Centre-Based Care,3 Florence Court,DANDENONG,VIC,3175,0401584682,NA,NA,43,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr 2016,05/09/2022,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"3 Florence Court, DANDENONG, VIC, 3175","c(145.202642039025, -37.97031001559)",Lynbrook,Fountain Gate SC,10.498669721545868,10.371638450456082
SE-00005863,PR-40004402,Monbulk OSHClub,OSHCLUB PTY LTD,Centre-Based Care,1 Main Road,MONBULK,VIC,3793,0438568149,NA,"No more than one nominated educator who holds a certificate IV in Children Services can be counted in the diploma level qualified educator to child ratios. •	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",52,01/01/2012,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Apr 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2019,29/06/2015,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,NA,NA,NA,NA,15:10:00,18:00:00,13:45:00,18:00:00,13:45:00,18:00:00,13:45:00,18:00:00,15:10:00,18:00:00,NA,NA,NA,NA,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,No,"1 Main Road, MONBULK, VIC, 3793","c(145.407984585226, -37.875236853899)",Belgrave (Narrow-gauge),Boronia Station,5.781301992411651,10.997006962071156
SE-00005864,PR-40011145,Roxburgh Homestead PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,McPherson Blvd,ROXBURGH PARK,VIC,3064,1300072410,NA,NA,110,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug 2022,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb 2016,15/04/2024,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,NA,NA,NA,NA,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"McPherson Blvd, ROXBURGH PARK, VIC, 3064","c(144.915027020326, -37.633119749006)",Craigieburn,Highpoint SC,4.233503013714889,15.773368926349356
SE-00005867,PR-00001697,Port Fairy Community Services Centre,Moyne Shire Council,Centre-Based Care,16 Atkinson Street,PORT FAIRY,VIC,3284,0355587807,NA,NA,131,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec 2021,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul 2015,NA,Yes,No,No,No,No,No,No,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,07:30:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"16 Atkinson Street, PORT FAIRY, VIC, 3284","c(142.238268909156, -38.388237994345)",Warrnambool,Ballarat City,20.692828318509477,169.52016711675168
SE-00005869,PR-40004402,St Anne's OSHClub,OSHCLUB PTY LTD,Centre-Based Care,16 Stewarts Lane,SUNBURY,VIC,3429,0431104999,NA,NA,70,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov 2016,01/07/2015,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,NA,NA,NA,NA,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,NA,NA,NA,NA,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,No,"16 Stewarts Lane, SUNBURY, VIC, 3429","c(144.716232905498, -37.56842960956)",Sunbury,RRL stop,1.5796530996074905,12.018145133691421
SE-00005870,PR-00002253,Mt Pleasant Kindergarten,Mount Pleasant Road Nunawading Primary School Council,Centre-Based Care,Mount Pleasant Road,NUNAWADING,VIC,3131,0398781730,NA,NA,44,01/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun 2024,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May 2019,NA,No,Yes,No,No,No,No,No,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,NA,NA,NA,NA,08:45,16:15,08:45,16:15,08:45,16:15,08:45,16:15,NA,NA,NA,NA,NA,NA,09:00:00,14:00:00,08:30:00,16:00:00,09:00:00,14:00:00,08:30:00,16:00:00,09:00:00,14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Mount Pleasant Road, NUNAWADING, VIC, 3131","c(145.178348563693, -37.826303936727)",Mitcham,Ringwood Station,1.5653707720685215,4.672717208291495
SE-00005871,PR-00002539,Camp Australia - Our Lady's Primary School - Craigieburn OSHC,Camp Australia Pty Limited,Centre-Based Care,169-187 Craigieburn Rd,CRAIGIEBURN,VIC,3064,0450778159,NA,NA,40,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2022,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov 2016,28/01/2020,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06:30,08:40,06:30,08:40,06:30,08:40,06:30,08:40,06:30,08:40,NA,NA,NA,NA,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,No,"169-187 Craigieburn Rd, CRAIGIEBURN, VIC, 3064","c(144.930390783088, -37.598587906732)",Craigieburn,Highpoint SC,1.1921943527689525,19.793061559260394
SE-00005872,PR-00002147,PRESHIL,Preshil - The Margaret Lyttle Memorial School,Centre-Based Care,395 Barkers Road,KEW,VIC,3101,0398176136,03 9816 9466,NA,30,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2019,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun 2014,06/02/2024,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,NA,NA,NA,NA,No,"395 Barkers Road, KEW, VIC, 3101","c(145.05221504022, -37.816345979374)",Auburn,Glen Waverley Station,0.8750604775272146,11.987785586396544
SE-00005874,PR-40011145,Drysdale PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,Stonehouse Place,DRYSDALE,VIC,3222,0447056756,NA,NA,80,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug 2019,09/01/2023,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,NA,NA,NA,NA,15:30:00,18:30:00,15:30:00,18:30:00,15:30:00,18:30:00,15:30:00,18:30:00,15:30:00,18:30:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"Stonehouse Place, DRYSDALE, VIC, 3222","c(144.573856054787, -38.168816861277)",South Geelong,Anglesea,18.80508891593741,42.68750151158796
SE-00005875,PR-00001946,Craigieburn West YMCA Early Learning Centre,Victorian YMCA Community Programming Pty Ltd,Centre-Based Care,265 Waterview Blvd,CRAIGIEBURN,VIC,3064,0383383900,NA,NA,84,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2023,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2017,NA,Yes,No,No,No,No,No,Yes,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,15:20,18:30,15:20,18:30,15:20,18:30,15:20,18:30,15:20,18:30,NA,NA,NA,NA,06:30:00,09:10:00,06:30:00,09:10:00,06:30:00,09:10:00,06:30:00,09:10:00,06:30:00,09:10:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"265 Waterview Blvd, CRAIGIEBURN, VIC, 3064","c(144.906813662921, -37.583138257071)",Craigieburn,St Albans Station,3.8430818965787115,20.319765278193234
SE-00005877,PR-40004402,St Anthony's Primary OSHClub,OSHCLUB PTY LTD,Centre-Based Care,1 Wilson Road,MELTON SOUTH,VIC,3338,0421089585,NA,NA,100,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2021,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May 2015,01/07/2015,No,No,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,NA,NA,NA,NA,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,15:20:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"1 Wilson Road, MELTON SOUTH, VIC, 3338","c(144.571754980494, -37.709048492552)",Melton,Cobblebank Station,0.6369698214021215,2.890212870695718
SE-00005880,PR-00002978,Mandama Primary School Combined OSHC,Mandama Primary School Council,Centre-Based Care,10 Corang Ave,GROVEDALE,VIC,3216,0352437122,NA,NA,75,01/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jan 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2018,NA,No,No,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,NA,NA,NA,NA,07:00:00,09:00:00,07:00:00,09:00:00,07:00:00,09:00:00,07:00:00,09:00:00,07:00:00,09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"10 Corang Ave, GROVEDALE, VIC, 3216","c(144.328212479282, -38.200483488944)",Marshall,Anglesea,2.33715901996838,25.78418307204658
SE-00005881,PR-00006475,Glen Education Caulfield South Kindergarten,Glen Education Inc,Centre-Based Care,1c Birch Street,CAULFIELD SOUTH,VIC,3162,0395284131,NA,NA,30,01/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May 2023,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan 2018,13/03/2012,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"1c Birch Street, CAULFIELD SOUTH, VIC, 3162","c(145.021672307058, -37.892734998787)",Gardenvale,Glen Waverley Station,1.5973686583523548,12.485976944150192
SE-00005882,PR-00006475,Glen Education Orrong Road Kindergarten,Glen Education Inc,Centre-Based Care,55 Orrong Road,ELSTERNWICK,VIC,3185,0395282203,0395231376,NA,51,01/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr 2023,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug 2017,08/10/2012,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,NA,NA,NA,NA,NA,NA,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,NA,NA,NA,NA,08:30:00,16:30:00,08:30:00,16:30:00,08:30:00,16:30:00,08:30:00,16:30:00,08:30:00,16:30:00,NA,NA,NA,NA,No,"55 Orrong Road, ELSTERNWICK, VIC, 3185","c(145.005739985502, -37.884318981266)",Ripponlea,Newport Interchange,1.3178484759304057,11.790026281741776
SE-00005883,PR-00002964,Kinglake Ranges Children's Centre,Kinglake Ranges Children's Centre Inc,Centre-Based Care,69 Extons Rd,KINGLAKE CENTRAL,VIC,3757,0357861352,0357862109,"•	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",120,01/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Excellent,May 2024,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan 2017,NA,Yes,Yes,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"69 Extons Rd, KINGLAKE CENTRAL, VIC, 3757","c(145.325696005172, -37.47883435687)",Hurstbridge,Wallan Railway Station,21.41165651806616,29.155711450347987
SE-00005884,PR-00002539,Camp Australia - St Patrick's Primary School Pakenham OSHC,Camp Australia Pty Limited,Centre-Based Care,136 Princes Highway,PAKENHAM,VIC,3810,0401228107,NA,NA,105,02/02/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan 2023,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun 2017,02/02/2012,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,NA,NA,NA,NA,15:10:00,18:30:00,15:10:00,18:30:00,15:10:00,18:30:00,15:10:00,18:30:00,15:10:00,18:30:00,NA,NA,NA,NA,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,No,"136 Princes Highway, PAKENHAM, VIC, 3810","c(145.472672006801, -38.067585480431)",Pakenham,Pakenham Railway Station,1.881184246264754,1.7037935128482273
